original,gentle,playful,bold,id,scenario
Is this machine free?,Is this machine free? I promise I won't distract you... much,Is this machine free? Fair warning: I might spend more time admiring your form than working out,"Is this machine free? Perfect, now I have an excuse to be near you",flirt_0013,special occasion
Can you spot me?,Could you spot me? I trust someone with your expertise... and those eyes,Can you spot me? I promise to return the favor... maybe over drinks later?,"Can you spot me? I'm already falling for you, might as well make it literal",flirt_0014,intimate setting
Nice form,You have perfect form... and I'm not just talking about your workout,Nice form! Are you a trainer? Because you're definitely training my heart rate right now,Perfect form... want to show me more over dinner?,flirt_0015,chance meeting
How many sets left?,"How many sets left? No rush, I enjoy the view",Sets left? However many it takes for you to notice me staring,Sets left? Just one more - the set of digits I need from you,flirt_0016,dining experience
Need help with that weight?,Need help? I'd be honored to assist someone so dedicated,"Need help? Sure, but I think you've already lifted my spirits","Need help? Yeah, help me get your number",flirt_0017,private moment
What's your routine?,What's your routine? Besides making everyone here stop and stare,Your routine? Step 1: Look amazing. Step 2: Drive everyone crazy. What's step 3?,Your routine? I want to be part of it,flirt_0018,professional context
Good music today,"Good music today, but you're the real rhythm that caught my attention",Good music! Want to dance? I know this isn't a club but I'm flexible,"Good music, but I'd rather listen to your voice over dinner",flirt_0019,spontaneous meeting
Busy gym today,"Busy gym, but I only have eyes for one person","So busy! Lucky for me, all roads led to meeting you",Busy gym... let's go somewhere quieter after this,flirt_0020,entertainment venue
What are you drinking?,What are you drinking? It looks almost as interesting as you,What are you drinking? I need to know what gives someone that much confidence and charm,What are you drinking? Because I'd like to buy you another one,flirt_0021,shopping area
Cheers!,Cheers! To unexpected encounters with beautiful strangers,Cheers! To me finally working up the liquid courage to talk to you,Cheers! To this being the start of something amazing,flirt_0022,dining experience
Great music tonight,Great music... makes me want to ask you to dance,Great music! Almost as good as the view from where I'm standing,"Great music, but I'd rather hear your number",flirt_0023,formal setting
Crowded in here,"It's crowded, but somehow you're the only person I noticed",So crowded! Good thing I don't mind getting closer to you,Crowded in here... want to go somewhere we can actually talk? And flirt properly?,flirt_0024,relaxed atmosphere
Can I buy you a drink?,Can I buy you a drink? You look like someone with excellent taste,Can I buy you a drink? Fair warning: it comes with charming conversation,Can I buy you a drink? And maybe breakfast tomorrow?,flirt_0025,special occasion
Dance with me?,Would you like to dance? I promise I won't step on your toes... much,"Dance with me? I should warn you, I have two left feet but incredible charm",Dance with me. That wasn't a question,flirt_0026,transportation
This song is great,This song is perfect... almost as perfect as this moment,Great song! It's like the DJ knew I was about to meet someone amazing,Great song for making out to... just saying,flirt_0027,quiet moment
Having fun?,"Having fun? Your smile is absolutely contagious, by the way",Having fun? Because this night just got 100% better since you arrived,Having fun? Want to have more fun? I have some ideas...,flirt_0028,social gathering
Last call,Last call... but I hope this isn't the last time I see you,Last call! Good thing the night is still young for us,"Last call here, first call at my place?",flirt_0029,energetic environment
Nice moves,Nice moves on the dance floor... you're incredibly graceful,Nice moves! I'm trying to figure out if you're a professional dancer or just naturally amazing,Nice moves... want to show me some more somewhere private?,flirt_0030,cultural venue
How do you know the host?,How do you know the host? I need to thank them for inviting you,How do you know the host? I need to become their best friend if they know people like you,Who cares about the host? I'm more interested in knowing you,flirt_0031,casual conversation
You look familiar,You look familiar... maybe from my dreams? Too cheesy? Let me try again...,You look familiar... are you the person who's been stealing all the attention in this room?,You look familiar... probably because I've been staring at you for the last ten minutes,flirt_0032,social gathering
Great party,"Great party, but meeting you is definitely the highlight",Great party! Though it just became amazing about 5 seconds ago,Great party... want to start our own?,flirt_0033,social event
Do you know anyone here?,Do you know anyone here? Because I'd love to know you,"Know anyone here? Perfect, now you know me - your new favorite person","Know anyone here? You will soon - me, intimately",flirt_0034,shopping area
Nice outfit,That outfit looks incredible on you... you have such great style,Nice outfit! Did you dress up just to make everyone else here look underdressed?,Nice outfit... it would look even better on my bedroom floor,flirt_0035,social event
Want to step outside?,Want to step outside? I'd love to continue our conversation somewhere quieter,Step outside? I promise I'm more interesting than the party,Want to step outside? Or skip straight to going home together?,flirt_0036,day activity
What's your story?,What's your story? I have a feeling it's fascinating,What's your story? Chapter 1 better include meeting me tonight,What's your story? I want to be in the next chapter,flirt_0037,everyday moment
Are you single?,Are you single? Because someone like you shouldn't be alone,"Single? Please say yes, I've been working up courage all night",Single? Good. I don't like competition,flirt_0038,cultural venue
Want another drink?,Another drink? I'd love an excuse to spend more time with you,"Another drink? Sure, but I'm already intoxicated by you",Another drink at my place? We can skip the crowd,flirt_0039,shopping area
This music is loud,Music's loud... want to find somewhere we can actually hear each other?,So loud! Good thing I read lips... and body language,Too loud... let's go somewhere we can make our own noise,flirt_0040,entertainment venue
Everything looks good,Everything looks good here... especially the company,"Everything looks good, but you're definitely the most appetizing thing I've seen","Everything looks good, but I'm only hungry for your number",flirt_0041,waiting situation
Have you tried this before?,Have you tried this? I'd love to know what you recommend,Have you tried this? Because I'd like to try asking you out,Have you tried dating me? I highly recommend it,flirt_0042,social gathering
Can I get you anything?,Can I get you anything? Besides a reason to keep talking to you?,Get you anything? How about my number to start?,"Get you anything? Yeah, naked. Wait, that came out wrong... or did it?",flirt_0043,dining experience
This is delicious,This is delicious... almost as sweet as your smile,Delicious! But I bet you taste even better,Delicious... want to be my dessert?,flirt_0044,dining experience
Check please,Check please... and maybe your number too?,Check please! Also checking if you're free tonight,Check please... then let's check into a hotel,flirt_0045,casual environment
Are you ready to order?,Ready to order? I already know what I want... more time with you,Ready to order? I'll have whatever you're having and your phone number,Ready to order? I'll take you to go,flirt_0046,community space
This place is nice,"Nice place, but the company is what makes it perfect",Nice place! Not as nice as the view across from me though,Nice place... my bedroom's nicer though,flirt_0047,shared activity
Save room for dessert?,Save room for dessert? I was hoping you'd be mine,Dessert? Only if you're on the menu,Dessert? I'm thinking whipped cream and your place,flirt_0048,energetic environment
The service is slow,"Slow service, but that means more time to get to know you","Slow service? Perfect, I was hoping to stare at you longer",Slow service... want to skip to my place for faster service?,flirt_0049,special occasion
Want to share?,Want to share? I'd love to share more than just food with you,"Share? Sure, you can share your number with me",Want to share? How about we share a bed later?,flirt_0050,intimate setting
New here?,Are you new? I'd be happy to show you around... maybe over lunch?,New here? Great! I call dibs on being your favorite coworker,New here? Perfect timing - I was just thinking this place needed someone gorgeous,flirt_0051,entertainment venue
Long day?,Long day? You still manage to look amazing though,Long day? Mine just got infinitely better,Long day? Let me take you out and make it worth it,flirt_0052,evening out
Great presentation,Great presentation... you're incredibly impressive,Great presentation! I was totally paying attention and not just admiring you,Great presentation... present yourself at dinner with me tonight?,flirt_0053,formal setting
Coffee break?,Coffee break? I'd love to continue our conversation,Coffee break? More like a 'getting to know you better' break,Coffee break? How about a dinner date instead?,flirt_0054,social gathering
Working late again?,Working late? At least the scenery around here is beautiful,Working late again? Maybe because you're avoiding going home to an empty apartment?,Working late? Come home with me instead,flirt_0055,celebration
I love your style,I love your style... you have this effortless elegance about you,I love your style! Did you dress up just to make everyone else here look bad?,"I love your style... actually, I love everything I'm seeing right now",flirt_0056,friendly encounter
You're funny,You're funny... I love how your eyes light up when you laugh,"You're funny! Finally, someone who can match my terrible sense of humor","You're funny, smart, and gorgeous... so what's the catch?",flirt_0057,chance meeting
I should go,I should go... but I'd really love to continue this conversation sometime,"I should go, but my feet seem to be rebelling. I think they like standing next to you",I should go... unless you give me a really good reason to stay,flirt_0058,entertainment venue
It was nice meeting you,It was lovely meeting you... I hope it's not the last time,Nice meeting you! Fair warning: you're going to be stuck in my head all day,Nice meeting you... now let's make plans to meet again,flirt_0059,learning environment
Maybe I'll see you around,I really hope I see you around... preferably on purpose next time,Maybe? Let's upgrade that to definitely and exchange numbers,Forget maybe - give me your number and make it a certainty,flirt_0060,crowded place
Beautiful day,Beautiful day... though not as beautiful as you,"Beautiful day! Perfect weather for falling in love, don't you think?",Beautiful day to meet someone gorgeous... mission accomplished,flirt_0061,casual environment
Nice tan,You have a lovely tan... you must spend time enjoying life outdoors,Nice tan! Did you get that from being this hot?,Nice tan... I'd love to see more of it,flirt_0062,relaxed atmosphere
The water's perfect,Perfect water... perfect company... perfect moment,Water's perfect! Almost as perfect as running into you,Water's perfect for skinny dipping... just saying,flirt_0063,social gathering
That looks good on you,That looks incredible on you... you have such great taste,"Looks good! But honestly, you'd look good in anything... or nothing",Looks good... but it would look better on my bedroom floor,flirt_0064,entertainment venue
What size are you?,"What size? You're perfectly sized for hugging, I'd guess","What size? Perfect size, that's what you are",What size? I'm more interested in what you're wearing underneath,flirt_0065,day activity
Great show,Great show... though you're more entertaining than the band,Great show! The real show is how good you look though,Great show... want to give me a private performance?,flirt_0066,celebration
I love this song,I love this song... it's perfect for slow dancing with someone special,"Love this song! It's our song now, just so you know",Love this song... it's perfect for making out to,flirt_0067,day activity
Is this your stop?,"Is this your stop? I hope not, I'm enjoying the company","Your stop? Mine too now, what a coincidence!",Your stop? How about my bedroom instead?,flirt_0068,daytime interaction
Running late?,Running late? Time stops when I look at you anyway,"Running late? Good, more time for me to work up the courage to ask you out",Running late? Skip whatever it is and come with me,flirt_0069,public interaction
Studying hard?,Studying hard? You deserve a break... maybe with someone charming?,"Studying hard? I'm studying you actually, very fascinating subject",Studying hard? I could teach you a few things... privately,flirt_0070,night scene
Quiet in here,So quiet... perfect for getting lost in conversation with you,Quiet in here... good thing hearts beating fast don't make noise,Too quiet... want to go somewhere we can make some noise?,flirt_0071,night scene
First time here?,First time here? I'd love to show you around... I know all the best spots,"First time here? Perfect, I'll be your tour guide... and hopefully more",First time here? Let's make it memorable in my room,flirt_0072,travel situation
Where are you from?,"Where are you from? Somewhere beautiful, I'm guessing",Where are you from? Heaven? Because you look angelic,Where are you from? My dreams? Because that's where I've seen you,flirt_0073,social event
How's your day?,How's your day going? Mine just got significantly better,How's your day? Because you've definitely made mine,How's your day? Want to make it unforgettable together?,flirt_0074,spontaneous meeting
What's up?,What's up? Besides my heart rate since I saw you,"What's up? My hopes for this conversation, that's what","What's up? My interest in you, that's for sure",flirt_0075,outdoor setting
How are you?,How are you? You look absolutely radiant today,How are you? Hopefully single and ready to mingle,"How are you? Gorgeous as always, I see",flirt_0076,social gathering
What's new?,"What's new? Well, meeting you is definitely the highlight",What's new? My sudden inability to think straight around you,What's new? The fact that I can't stop staring at you,flirt_0077,quiet moment
Nice to see you,So nice to see you... you always brighten my day,Nice to see you! My eyes are definitely grateful,Nice to see you... especially looking this good,flirt_0078,shared activity
How's it going?,How's it going? Better now that I get to talk to you,"How's it going? Well, my heart's racing, so pretty good",How's it going? Perfect timing - I was just thinking about you,flirt_0079,one-on-one
What are you up to?,What are you up to? Hopefully nothing that would prevent a conversation,What are you up to? Besides stealing all the attention in here,What are you up to tonight? Because I have some ideas,flirt_0080,energetic environment
Haven't seen you in a while,Haven't seen you in ages... I forgot how stunning you are,Too long! My eyes have been deprived of this beautiful sight,Way too long... I've missed looking at you,flirt_0081,transportation
You look busy,You look busy... but hopefully not too busy for a quick chat,"You look busy being gorgeous... full-time job, I imagine",You look busy... want to be busy with me instead?,flirt_0082,group setting
What brings you here?,"What brings you here? Fate, I'm hoping","What brings you here? My prayers being answered, apparently","What brings you here? Doesn't matter, I'm just glad you came",flirt_0083,friendly encounter
Hey,Hey there... hope you don't mind me reaching out,Hey! Fair warning: this message comes with charm and good intentions,Hey gorgeous... been thinking about you,flirt_0084,day activity
Hi,Hi! I've been wanting to message you all day,Hi! Did you know you're impossible to get out of my head?,Hi beautiful... miss me?,flirt_0085,chance meeting
Good morning,Good morning! Hope your day is as lovely as you are,Good morning sunshine! You're the first thing I thought of today,Good morning gorgeous... wish I was saying this in person,flirt_0086,group setting
Good night,"Good night... sweet dreams, and maybe dream of me?",Good night! I'll be dreaming of that beautiful smile,Good night sexy... wish I was there to tuck you in,flirt_0087,public interaction
How was your day?,How was your day? Hope it was filled with as much joy as you bring me,How was your day? Did anyone else get distracted by how amazing you look?,How was your day? Would've been better if I was in it,flirt_0088,intimate setting
Thinking of you,Thinking of you... and that incredible laugh of yours,Thinking of you... which is becoming a full-time occupation,Thinking of you... and what I'd do if you were here,flirt_0089,public interaction
Miss you,Miss you... can't wait to see that beautiful smile again,Miss you! My day feels incomplete without your charm in it,Miss you... especially your body against mine,flirt_0090,private moment
Can't sleep,Can't sleep... you're on my mind,Can't sleep... too busy thinking about how lucky I am to know you,Can't sleep... keep thinking about what we could be doing right now,flirt_0091,private moment
Random question,Random question: do you know how amazing you are?,Random question: are you always this distractingly beautiful?,Random question: what are you wearing right now?,flirt_0092,travel situation
Nice pic,Beautiful photo... you have such a natural grace,Nice pic! Warning: may cause uncontrollable smiling,Damn... you're stunning in every photo,flirt_0093,entertainment venue
Love this post,Love this post... almost as much as I enjoy everything you share,Love this! You always know how to make my day better,Love this... love everything about you actually,flirt_0094,relaxed atmosphere
Great story,Great story! You always have the most interesting perspective,Great story! You could read the phone book and I'd be fascinated,Great story... you're the most interesting person I follow,flirt_0095,group setting
Saw your post,Saw your post and had to tell you how radiant you look,Saw your post... had to stop scrolling and appreciate the view,Saw your post... couldn't scroll past without telling you how hot you look,flirt_0096,friendly encounter
Thank you,You're welcome... though I was just stating the obvious,You're welcome! Fair warning: the compliments are just getting started,Don't thank me... thank genetics for making you this gorgeous,flirt_0097,daytime interaction
That's sweet,Not as sweet as you... or that smile,Sweet? Just wait until you get to know me better,Sweet? I can be much sweeter... and naughtier,flirt_0098,transportation
You're too kind,Just honest... you bring out the romantic in me,Too kind? Impossible when it comes to you,Too kind? I haven't even started yet,flirt_0099,crowded place
It's getting late,Time flies when you're with someone special,Time flies when you're having this much fun,Good thing the night is young... just like us,flirt_0100,public place
I have to go,I understand... but I've really enjoyed every moment with you,Nooo! Just when things were getting interesting,Go? But we were just getting to the good part,flirt_0101,everyday moment
See you later,See you later... I'll be counting the minutes,Later? How about sooner? Much sooner?,See you later... in my dreams if nowhere else,flirt_0102,quiet moment
Talk soon,I'd love that... your voice is music to my ears,Soon better mean very soon... I'm already looking forward to it,Talk soon... or I might just have to call you right now,flirt_0103,waiting situation
It's cold,"Cold outside, but you warm my heart",Cold? Good thing I generate heat when I'm around you,Cold? I know ways to warm you up,flirt_0104,relaxed atmosphere
It's hot today,Hot day... though not as hot as you,Hot today! Or is that just the effect you have on everything?,Hot day... you're making it even hotter,flirt_0105,professional context
It's raining,Rain's romantic... perfect weather for staying close to someone special,Raining? Perfect excuse to stay inside and get to know each other better,Raining? Great weather for staying in bed all day,flirt_0106,waiting situation
I'm hungry,Hungry? I know a great place... and even better company to share it with,Hungry? Me too... hungry for more time with you,Hungry? I could eat... you up,flirt_0107,spontaneous meeting
Want some?,Want some? I'd love to share... everything with you,Want some? Only if you feed it to me,Want some? I want all of you,flirt_0108,waiting situation
This is good,Good food... even better company,Good? Everything's good when you're around,Good... not as good as what I'm imagining right now though,flirt_0109,crowded place
I'm thirsty,Thirsty? Let me get you something... anything you want,Thirsty? I'm thirsty too... for your attention,Thirsty? I'm parched... for your lips,flirt_0110,entertainment venue
I'm tired,Tired? You still look absolutely beautiful,Tired? From being so amazing all day?,Tired? I know something that'll wake you up,flirt_0111,professional context
I'm bored,Bored? I'd love to be the cure for that,"Bored? Well, you've definitely cured mine",Bored? I have some very interesting ideas,flirt_0112,relaxed atmosphere
I'm happy,"Happy looks beautiful on you... but then again, everything does",Happy? Your smile is absolutely contagious,Happy? I could make you even happier,flirt_0113,quiet moment
I'm stressed,Stressed? You deserve to relax... maybe with someone who appreciates you,Stressed? I know excellent stress relief... spending time with me,Stressed? I know some very effective ways to relieve tension,flirt_0114,public place
What do you think?,I think you're incredible... what do you think about us?,I think you're amazing and I'm lucky to be talking to you,I think we should stop talking and start kissing,flirt_0115,relaxed atmosphere
Really?,Really... you're even more wonderful than I imagined,Really! And that's just the beginning of what I think about you,Really... want me to show you just how much I mean it?,flirt_0116,cultural venue
Why?,Why? Because you're extraordinary in every way,Why? Because life's too short not to tell someone they're amazing,Why? Because you drive me absolutely crazy in the best way,flirt_0117,chance meeting
Are you sure?,I'm sure... sure that you're someone very special,Absolutely sure... sure that you're going to be trouble for my heart,I'm sure... sure that I want you right now,flirt_0118,cultural venue
Exactly,"Exactly... we think so much alike, it's like we're meant to be",Exactly! See? We're already finishing each other's thoughts,Exactly... now let's see what else we agree on,flirt_0119,private moment
I agree,Great minds think alike... especially beautiful ones like yours,I agree too... we're clearly perfect for each other,I agree... now agree to go out with me,flirt_0120,one-on-one
Maybe,Maybe? I'd love to turn that into a yes,Maybe? I'll take those odds and work on improving them,Maybe? Let me convince you to make it a definitely,flirt_0121,casual conversation
I don't know,That's okay... I know enough for both of us right now,"Don't know? That's fine, I know you're amazing",Don't know? Let me show you what you're missing,flirt_0122,intimate setting
Wow,Wow is right... that's what I thought when I first saw you,Wow? My thoughts exactly about you,Wow... you have no idea what you do to me,flirt_0123,travel situation
Amazing,Amazing... just like you in every way,Amazing! Almost as amazing as your smile,Amazing... want to see something even more amazing? Us together,flirt_0124,special occasion
Incredible,Incredible... that's exactly how I'd describe you,Incredible! You took the word right out of my mouth,Incredible... like the chemistry between us,flirt_0125,day activity
No way,Yes way... especially when it comes to how stunning you are,Yes way! And yes to whatever comes next,Yes way... and yes to everything I'm thinking about you,flirt_0126,energetic environment
I have work,Work can wait... moments like this are rare,Work? But the most important job is getting to know you,Work? Call in sick... I have better plans for you,flirt_0127,intimate setting
I'm busy,I understand you're busy... but I'd love just a few more minutes,Busy being gorgeous? That's a full-time job for sure,Too busy for a little fun? Let me change your priorities,flirt_0128,spontaneous meeting
I should study,Study? How about studying the art of conversation with me?,Study? I'd rather study your beautiful smile,Study? Let's study anatomy... together,flirt_0129,relaxed atmosphere
My phone died,Phone died? Perfect excuse to focus on this moment,"Phone died? Good, now I have your undivided attention",Phone died? Means you can't escape my charm now,flirt_0130,celebration
Bad connection,"Bad connection there, but I feel a great connection here",Bad connection? We seem to have a perfect connection though,Bad connection? Let's connect in person instead,flirt_0131,social gathering
"Sorry, autocorrect","Autocorrect? No need to apologize, everything you say sounds perfect to me",Autocorrect? I'd rather focus on how correct we are for each other,Autocorrect can't fix how much I want you right now,flirt_0132,public interaction
Everyone's here,"Everyone's here, but you're the only one I notice","Everyone's here? Lucky me, I get to stand next to the most beautiful person","Everyone's here, but I only care about getting you alone",flirt_0133,recreational setting
It's crowded,Crowded everywhere except in my heart... there's always room for you,Crowded? Good thing gorgeous people stand out in any crowd,Crowded here... let's find somewhere more private,flirt_0134,intimate setting
Do you know them?,Know them? I'm more interested in knowing you,Know them? Not important. Do you know how beautiful you are?,Know them? Who cares? I only want to know you... intimately,flirt_0135,entertainment venue
What's next?,What's next? Hopefully more time getting to know each other,"What's next? You asking me out, if I'm lucky","What's next? You, me, and whatever happens naturally",flirt_0136,spontaneous meeting
Any plans?,Any plans? I'd love to make some... with you,Plans? Just made one: spending more time with you,"Plans? Yeah, to get you out of here and alone with me",flirt_0137,spontaneous meeting
Maybe later,Later works for me... gives me more time to think about you,Later? I'll be counting the minutes,Later? How about right now instead?,flirt_0138,learning environment
We'll see,We'll see... I like the sound of 'we',We'll see? I love that you're thinking in terms of 'we',We'll see? Let's make it 'we'll do' instead,flirt_0139,night scene
Sorry,No need to apologize... you're perfect just as you are,Sorry? Only thing you should be sorry about is being so distractingly beautiful,Sorry? You'll be sorry if you don't give me your number,flirt_0140,formal setting
My bad,"Your bad? Impossible, everything about you is good",Your bad? The only bad thing is that I didn't meet you sooner,Your bad? I'll show you what good really looks like,flirt_0141,social gathering
What do you mean?,I mean that you're absolutely captivating,I mean that you're dangerously charming,I mean that I want you... is that clear enough?,flirt_0142,relaxed atmosphere
I don't understand,Let me be clearer: you're amazing and I'd love to know you better,Understand this: you're the most interesting person here,Understand this: I'm completely attracted to you,flirt_0143,waiting situation
What?,What I'm trying to say is... you're incredible,What? That you're absolutely stunning? Thought that was obvious,What? You heard me... you're driving me crazy,flirt_0144,energetic environment
That's great,Great? Not as great as spending time with you,Great! You know what else is great? Your smile,Great... you know what would be greater? Us together,flirt_0145,energetic environment
Perfect,Perfect... just like this moment with you,Perfect! That's exactly what you are,Perfect... now let's make this night perfect too,flirt_0146,cultural venue
Love it,Love it? I love how your face lights up when you're happy,Love it! I love everything about this conversation,Love it? I love everything about you,flirt_0147,quiet moment
Bye,Bye for now... hope to see you again very soon,Bye? This better not be goodbye forever,Bye? Not until I get your number,flirt_0148,public place
Take care,You take care too... you're too precious not to,Take care! And take my number while you're at it,"Take care... or better yet, let me take care of you",flirt_0149,energetic environment
Until next time,Until next time... which I hope is very soon,Next time? Let's make sure there is a next time,Next time? How about we continue this at my place?,flirt_0150,special occasion
You look nice,You look absolutely radiant... like sunshine personified,Nice? You look like you stepped out of a magazine,Nice? You look absolutely irresistible,flirt_0151,private moment
I like your smile,Your smile is like a ray of sunshine on a cloudy day,I like your smile... it's dangerously contagious,Your smile drives me absolutely wild,flirt_0152,relaxed atmosphere
You smell good,You smell wonderful... like heaven and happiness combined,You smell amazing... it's dangerously distracting,You smell incredible... I want to get closer,flirt_0153,crowded place
Tell me more,Tell me more... I love listening to your voice,Tell me more! You're fascinating and I'm completely hooked,Tell me more... preferably while we're somewhere more private,flirt_0154,day activity
Interesting,Interesting... though not as interesting as you are,Interesting! You make everything sound fascinating,Interesting... but I'm more interested in exploring you,flirt_0155,group setting
I'm nervous,Nervous? Don't be... you're talking to someone who thinks you're wonderful,Nervous? Good thing I'm here to calm your nerves with my charm,Nervous? Let me give you something to really be nervous about,flirt_0156,transportation
I'm excited,Excited? Your enthusiasm is absolutely infectious and beautiful,Excited? Me too! Especially about where this conversation is going,Excited? You haven't seen anything yet,flirt_0157,casual conversation
I'm confused,Confused? Let me clear things up: you're amazing,"Confused? Don't worry, I have that effect on people","Confused? Simple: you want me, I want you",flirt_0158,social gathering
I'm embarrassed,"Embarrassed? You have nothing to be embarrassed about, you're perfect",Embarrassed? Your blush is absolutely adorable,Embarrassed? Wait until you see what I want to do to you,flirt_0159,dining experience
I feel weird,Weird? That might just be the butterflies from meeting someone special,Weird? That's just my irresistible charm taking effect,"Weird? That's sexual tension, and it's mutual",flirt_0160,travel situation
I'm surprised,Surprised? Life is full of beautiful surprises... like meeting you,Surprised? Wait until you discover how charming I can be,Surprised? You'll be even more surprised by what I'm thinking,flirt_0161,intimate setting
I'm curious,Curious? I love that about you... such an inquiring beautiful mind,Curious? Perfect! I love satisfying curiosity,Curious? Let me show you something that'll really pique your interest,flirt_0162,everyday moment
I'm worried,Worried? Let me be your reason to smile instead,Worried? The only thing you should worry about is how much I like you,Worried? Don't be... unless it's about how much you're going to want me,flirt_0163,chance meeting
I'm shocked,Shocked? Sometimes the best things in life come unexpectedly,Shocked? Wait until you see what other surprises I have,"Shocked? You haven't seen anything yet, gorgeous",flirt_0164,planned encounter
I feel lucky,Lucky? I'm the lucky one to be talking to someone so wonderful,Lucky? We both are! This must be fate,Lucky? Your luck's about to get even better,flirt_0165,relaxed atmosphere
I have a headache,Headache? I wish I could make it better... you deserve to feel amazing,Headache? I know the perfect cure: more time with me,Headache? I know some very hands-on ways to relieve tension,flirt_0166,fitness activity
I'm so full,Full? Good thing my heart still has plenty of room for you,Full? Room for dessert though? Especially if it's sweet like you,Full? Good thing I'm hungry... for you,flirt_0167,chance meeting
I can't breathe,Can't breathe? You take my breath away too,Can't breathe? Must be from all this chemistry in the air,Can't breathe? Wait until I really get you breathless,flirt_0168,shared activity
My heart is racing,Mine too... there's something magical happening here,Heart racing? That's the effect of talking to someone amazing,Heart racing? I know other ways to get it pumping,flirt_0169,dining experience
I feel dizzy,Dizzy? You're having the same effect on me,Dizzy? That's what happens when you meet someone this charming,Dizzy? Let me give you something to really spin about,flirt_0170,social event
I'm sweating,It is warm in here... or maybe that's just your radiant energy,Sweating? Must be from being around someone this hot,Sweating? I can think of better ways to work up a sweat,flirt_0171,evening out
I can't focus,Can't focus? I'm having the same problem... you're very distracting,"Can't focus? Sorry, that's my devastating good looks at work","Can't focus? Focus on this: you, me, tonight",flirt_0172,fitness activity
I feel weak,Weak? You make me feel strong enough to protect you,Weak? My charm does tend to have that effect,Weak? Good thing I'm here to support you... in every way,flirt_0173,learning environment
I'm shaking,"Shaking? Here, let me warm you up with my smile",Shaking? That's just excitement meeting someone this incredible,Shaking? I'll give you something to really tremble about,flirt_0174,outdoor setting
I feel hot,Hot? You're absolutely glowing... it's beautiful,Hot? You're definitely raising the temperature in here,Hot? You're the hottest thing I've ever seen,flirt_0175,entertainment venue
I can't remember,"Can't remember? That's okay, let's make new memories together",Can't remember? Good thing I'm unforgettable,Can't remember? I'll give you something you'll never forget,flirt_0176,relaxed atmosphere
I keep thinking,Keep thinking? Hopefully some of those thoughts include me,Keep thinking? I've been doing that about you all day,Keep thinking? I know exactly what you're thinking about,flirt_0177,private moment
I had a dream,A dream? I hope it was as beautiful as you are,A dream? Was I in it? I should have been,A dream? Let's make some of those dreams reality,flirt_0178,everyday moment
I can't forget,Can't forget? Some moments are worth remembering forever,Can't forget? Good! I was hoping to be memorable,Can't forget? Wait until tonight... you'll never forget that,flirt_0179,quiet moment
I keep picturing,Keep picturing? I love that I'm in your thoughts,Keep picturing? I've been doing the same about you,Keep picturing? Tell me more... in detail,flirt_0180,intimate setting
I was daydreaming,Daydreaming? I hope they were sweet dreams,Daydreaming? Let me guess... about someone charming and handsome?,Daydreaming? Let's make those daydreams come true,flirt_0181,chance meeting
I can't stop thinking,Can't stop thinking? You've been on my mind too,Can't stop thinking? I have that effect on people,Can't stop thinking about what? About us naked?,flirt_0182,fitness activity
