text,label
"so Um, Great party noted",0
well Obviously I guess,0
"So, How are you?",0
"Well, Studying hard?",0
"Well, Nice moves",0
hey Can't stop thinking? I have that effect on people,1
I learned I guess,0
so Take care alright,0
Are we there yet?.,0
"hmm So, Dance with me? alright",0
"Honestly, Do you come here often?",0
"Honestly, Great story alright",0
Can't stop thinking? You've been on my mind too you know,1
"Hey, Do you come here often?",0
"Hey, Nice to see you noted",0
"okay Actually, You're too kind",0
"Actually, Busy gym today",0
"So, Busy gym today",0
What size? I'm more interested in what you're wearing underneath,1
"Honestly, Great story alright",0
Nice place! Not as nice as the view across from me though,1
hmm Hey gorgeous... been thinking about you,1
"hey Need help? Sure, but I think you've already lifted my spirits",1
wow Good to see you... I'm drawn to your warmth you know,1
"Honestly, Nice outfit",0
That's crazy,0
wow Studying hard? I could teach you a few things... privately,1
What's up? Besides my heart rate since I saw you tonight,1
Need help with that weight?,0
hey Great song for making out to... just saying tonight,1
Nice pic,0
okay Your bad? I'll show you what good really looks like,1
well Nice outfit... it would look even better on my bedroom floor,1
This is delicious maybe,0
I agree too... we're clearly perfect for each other you know,1
Your routine? I want to be part of it tonight,1
well Great show... want to give me a private performance? you know,1
well It's getting late,0
"So, What are you reading? maybe",0
Working late again? Maybe because you're avoiding going home to an empty apartment?,1
Where are you from? Heaven? Because you look angelic haha,1
"So, Everything looks good alright",0
"well Actually, Are you single?",0
I hunger to devour every part of you,1
"Well, Check please alright",0
honestly Thinking of you... and that incredible laugh of yours,1
honestly Perfect water... perfect company... perfect moment,1
well Small world... there's something magical about you haha,1
hey What are you up to? Hopefully nothing that would prevent a conversation tonight,1
"Long line, but at least it gave me time to work up the courage to talk to you",1
well Nice to see you! My eyes are definitely grateful,1
wow New here? Perfect timing - I was just thinking this place needed someone gorgeous,1
Hey gorgeous... been thinking about you you know,1
Great song for making out to... just saying,1
"well Need help? Sure, but I think you've already lifted my spirits",1
"well So, Is this machine free?",0
Your stop? How about my bedroom instead?,1
"What brings you here? My prayers being answered, apparently haha",1
"okay Um, Crowded in here",0
Hi maybe,0
I love this I guess,0
"so Honestly, Excuse me",0
well Weird? That's just my irresistible charm taking effect,1
Nice tan... I'd love to see more of it,1
wow New here? Great! I call dibs on being your favorite coworker haha,1
hey Great party... want to start our own?,1
Want to share? I'd love to share more than just food with you,1
"Actually, Beautiful day",0
"Um, Can I get you anything?",0
"First time here? Perfect, I'll be your tour guide... and hopefully more",1
okay No way,0
well What a coincidence,0
What's new? The fact that I can't stop staring at you,1
wow How do you know the host? I need to become their best friend if they know people like you,1
"so Um, Coffee break?",0
"hey Excuse me, is your name Google? Because you're everything I've been searching for haha",1
Save room for dessert?.,0
honestly Nice tan! Did you get that from being this hot?,1
"okay Oh, Good morning",0
Random question: do you know how amazing you are?,1
Is this machine free? I promise I won't distract you... much,1
alright Long day? maybe,0
"Honestly, How do you know the host?.",0
well Will you go out with me?... you have this amazing energy,1
Running late? Skip whatever it is and come with me,1
okay Master? You've mastered the art of being absolutely captivating,1
honestly I really hope I see you around... preferably on purpose next time,1
"well Actually, Thank you.",0
hmm I surrender,0
My pleasure,0
"Actually, New here?",0
"hmm Know anyone here? Perfect, now you know me - your new favorite person",1
"Well, the coffee's great, but you're definitely the sweetest thing here",1
"Um, I love your style maybe",0
well Check please,0
alright That's sweet,0
so It froze,0
"It's crowded, but somehow you're the only person I noticed",1
honestly I'm attracted to you... spoiler alert: I like you you know,1
What are you reading? I guess,0
You look familiar... probably because I've been staring at you for the last ten minutes,1
"so Oh, Are you single? I guess",0
Do you know anyone here? noted,0
"Um, Excuse me",0
I really hope I see you around... preferably on purpose next time tonight,1
Are you ready to order? I guess,0
"okay So, This is delicious",0
"alright Honestly, Saw your post I guess",0
Is it just me or is there chemistry here?... I hope I'm not being too forward you know,1
Cheers! To unexpected encounters with beautiful strangers,1
"Great choice! Though between you and me, the second best choice today was me coming over to talk to you",1
"okay Oh, Can you spot me?",0
Can I get to know you better?... and I mean that sincerely,1
"Know anyone here? Perfect, now you know me - your new favorite person tonight",1
I fantasize about.,0
"Um, Check please I guess",0
"well Well, Nice to see you",0
I love your style! Did you dress up just to make everyone else here look bad?,1
well Random question: what are you wearing right now? haha,1
honestly Confused? Let me clear things up: you're amazing,1
"well Honestly, Coffee break?",0
well Great atmosphere,0
okay Can I buy you a drink? Fair warning: it comes with charming conversation,1
alright Stay with me maybe,0
Nice tan... I'd love to see more of it,1
okay Good night! I'll be dreaming of that beautiful smile,1
"so Oh, What's your routine?",0
hmm Great workout! maybe,0
"Um, They make the best coffee here maybe",0
"What brings you here? Doesn't matter, I'm just glad you came",1
"Great party, but meeting you is definitely the highlight tonight",1
You have perfect form... and I'm not just talking about your workout,1
well I'm confused,0
That book looks fascinating... though not as fascinating as the person reading it,1
"okay Honestly, How's your day?",0
"alright Actually, Having fun?.",0
"so Hey, You're too kind",0
"hmm Um, How are you?",0
Good book? Because I'm writing a story in my head where we get coffee after this,1
I'm stressed,0
hey Ready to order? I'll have whatever you're having and your phone number,1
"well What brings you here? My prayers being answered, apparently",1
honestly How's your day? Want to make it unforgettable together? you know,1
Great party! Though it just became amazing about 5 seconds ago,1
well Tell me more,0
well How was your day? Hope it was filled with as much joy as you bring me,1
Good music,0
well Dream come true... now give me your number you know,1
"honestly You're my type... and yes, I'm totally hitting on you you know",1
"honestly Slow service, but that means more time to get to know you",1
"Actually, The water's perfect",0
Right,0
Saw your post... had to stop scrolling and appreciate the view tonight,1
"well Oh, Coffee break?",0
honestly Miss you... especially your body against mine tonight,1
honestly True... fascinating. Your number would be more fascinating haha,1
well What are you reading? maybe,0
"What's new? Well, meeting you is definitely the highlight",1
well Can I buy you a drink? Fair warning: it comes with charming conversation,1
"So, New here?",0
I love this,0
"Well, How do you know the host? alright",0
honestly I hunger for deep connections with beautiful souls like yours,1
Full? Good thing my heart still has plenty of room for you haha,1
"How many sets left? No rush, I enjoy the view",1
wow I know how to make you smile... want me to prove it?,1
Are you always this charming? I guess,0
hmm What are you drinking? I need to know what gives someone that much confidence and charm,1
This song is incredible,0
well Who cares about the host? I'm more interested in knowing you haha,1
Great presentation... you're incredibly impressive,1
"Great choice! You clearly have excellent taste... in everything, I'm guessing you know",1
"honestly What size? Perfect size, that's what you are tonight",1
"alright Honestly, Studying hard? alright",0
I like you,0
"Actually, Do you come here often?.",0
"alright Well, Can I get your WiFi password?.",0
Can I see you again?.,0
okay Nice meeting you... now let's make plans to meet again,1
well Thinking of you... and that incredible laugh of yours,1
"well Well, That's sweet",0
"well Honestly, Having fun?",0
alright Hi noted,0
"so Um, Great presentation noted",0
"Um, Want to share? I guess",0
Learned? I just learned that perfection exists... it looks like you,1
"okay Actually, Busy gym today I guess",0
"alright Well, They make the best coffee here",0
I need noted,0
Can't stop thinking? I have that effect on people,1
You're captivating,0
so Glad to help,0
Do you come here often?,0
"Honestly, Saw your post I guess",0
so I can't stop staring,0
Ready to order? I'll have whatever you're having and your phone number,1
okay Too kind? I haven't even started yet,1
well This is delicious... almost as sweet as your smile,1
"Oh, New here?",0
Check please... then let's check into a hotel tonight,1
You look familiar... maybe from my dreams? Too cheesy? Let me try again...,1
okay Love it? Your happiness is absolutely radiant tonight,1
It's cold,0
"okay Oh, Beautiful day I guess",0
Do you come here often? Because I'm about to start coming here every day at this exact time,1
hmm Shaking? I'll give you something to really tremble about you know,1
Daydreaming? Let's make those daydreams come true,1
hmm Sets left? Just one more - the set of digits I need from you haha,1
"Well, You look familiar",0
hey Nice to see you! My eyes are definitely grateful you know,1
"Know anyone here? Perfect, now you know me - your new favorite person",1
"Hey, Studying hard?.",0
"alright Well, Studying hard?",0
"alright Actually, Nice weather today maybe",0
Come closer... let's skip the games haha,1
"okay You're confident... but first, are you single? Asking for me",1
hmm Haven't seen you in ages... I forgot how stunning you are,1
I like that you have such great taste... in everything,1
hmm Check please... and maybe your number too?,1
Having fun? Want to have more fun? I have some ideas...,1
Slow service... want to skip to my place for faster service?,1
okay You're captivating... you seem like someone truly special,1
well What's fantastic here? noted,0
Great choice! Now make another one and give me your number,1
honestly Quiet in here... good thing hearts beating fast don't make noise,1
Great music... makes me want to ask you to dance,1
okay How's your day? Want to make it unforgettable together?,1
Know them? I'm more interested in knowing you haha,1
okay Can't stop thinking? You've been on my mind too,1
"okay So, Working late again? noted",0
"Well, Where are you from? alright",0
Sets left? Just one more - the set of digits I need from you,1
"Actually, The service is slow noted",0
wow Delicious... want to be my dessert?,1
"well Hey, Do you know anyone here? alright",0
hey Hot day... you're making it even hotter,1
"well Um, What's good here?",0
hmm We'll see.,0
hey Sweet? I can be much sweeter... and naughtier,1
"Um, You're funny",0
"okay Well, the coffee's great, but you're definitely the sweetest thing here",1
Trust me... you light up any room haha,1
Need help with that weight? noted,0
Take my hand... spoiler alert: I like you you know,1
Can't sleep... keep thinking about what we could be doing right now,1
"Actually, Working late again?",0
hmm This place is packed noted,0
wow You have perfect form... and I'm not just talking about your workout,1
"okay Um, Great show maybe",0
All the time I guess,0
"well Oh, Do you come here often?",0
Fate brought us together I guess,0
"so So, Nice moves",0
so How much?,0
What's good here? noted,0
Miss you... can't wait to see that beautiful smile again,1
well Small world... there's something magical about you,1
I want you... did it work? Am I charming yet?,1
"Hey, New here? maybe",0
"well Um, This is delicious",0
"well Hey, Saw your post noted",0
What's up? Besides my heart rate since I saw you,1
okay Studying hard? I could teach you a few things... privately,1
"wow How are you? Gorgeous as always, I see tonight",1
"hmm Actually, What are you reading?",0
"so Honestly, First time here?",0
so Small world maybe,0
"so So, Hey I guess",0
Good music! Want to dance? I know this isn't a club but I'm flexible,1
"Actually, Last call maybe",0
"Actually, Are you ready to order?",0
"You're mysterious... smooth, right? I practiced that",1
Not as sweet as you... or that smile haha,1
"so Actually, Excuse me",0
"well Um, Need help with that weight? alright",0
"so So, I should go",0
wow Have you tried this? I'd love to know what you recommend you know,1
"So, Long day? alright",0
Get you anything? How about my number to start?,1
hmm Coffee break? How about a dinner date instead?,1
I hate this,0
well Beautiful day,0
hmm I'm lost... let's skip the games,1
"Oh, This is delicious",0
"so Um, Nice pic alright",0
"okay Oh, First time here? I guess",0
okay What are you up to tonight? Because I have some ideas tonight,1
wow Is this seat taken? I promise I'm good company,1
"Well, What are you drinking? alright",0
"well Actually, Long day?",0
"so So, Crowded in here alright",0
"You're perfect... smooth, right? I practiced that you know",1
okay Bye? Not until I get your number,1
"so Oh, Nice pic.",0
Nice place! Not as nice as the view across from me though,1
well Until next time.,0
I agree,0
"hmm Well, Save room for dessert? noted",0
Quiet in here... good thing hearts beating fast don't make noise tonight,1
hmm Beautiful day,0
Coffee break? More like a 'getting to know you better' break tonight,1
How are you? You look absolutely radiant today,1
"Honestly, What brings you here?",0
"alright Oh, Nice pic",0
"Excuse me, is your name Google? Because you're everything I've been searching for",1
"You're perfect... smooth, right? I practiced that",1
hey Save room for dessert? I was hoping you'd be mine,1
"hmm So, Are you ready to order?",0
Take me... true story: I'm smitten,1
"hmm Um, Can I buy you a drink? I guess",0
"So, The service is slow alright",0
"Honestly, Miss you alright",0
hey Have you tried this? Because I'd like to try asking you out haha,1
Last call... but I hope this isn't the last time I see you,1
"okay Well, Can I get your WiFi password?",0
honestly Is this machine free? Fair warning: I might spend more time admiring your form than working out haha,1
"alright Oh, Good night maybe",0
Great workout! You make it look so effortless and graceful,1
"Well, Good morning I guess",0
"okay What brings you here? Fate, I'm hoping",1
hey Dessert? Only if you're on the menu tonight,1
Will you go out with me?,0
How was your day? Hope it was filled with as much joy as you bring me,1
Ready to order? I'll have whatever you're having and your phone number,1
Nice to see you! My eyes are definitely grateful,1
well Long day? Let me take you out and make it worth it,1
"hmm Um, Crowded in here",0
That looks excellent on you,0
I suppose,0
"well Dance with me? I should warn you, I have two left feet but incredible charm",1
well How are you? You look absolutely radiant today,1
"well Actually, Nice weather today",0
"Um, That's sweet noted",0
"Well, Can I get your WiFi password?",0
okay Hot day... you're making it even hotter,1
"Actually, Busy gym today",0
Who cares? You're the only one I want to know haha,1
honestly What are you drinking? Because I'd like to buy you another one tonight,1
Crowded in here.,0
Too loud... let's go somewhere we can make our own noise,1
wow Love this post... almost as much as I enjoy everything you share tonight,1
"So, How many sets left?",0
"Um, Working late again? alright",0
okay Dessert? Only if you're on the menu,1
"okay Know anyone here? Perfect, now you know me - your new favorite person",1
honestly What are you up to tonight? Because I have some ideas,1
"hmm Well, How's it going? alright",0
"hmm What brings you here? My prayers being answered, apparently you know",1
"Weird? That's sexual tension, and it's mutual",1
okay Wish granted... breaking news: you're gorgeous you know,1
"What's new? Well, meeting you is definitely the highlight",1
How do I get there? alright,0
wow Random question: are you always this distractingly beautiful?,1
"hmm Well, Can I get your WiFi password? alright",0
"well Actually, Saw your post noted",0
hey Master? You've mastered making my heart skip beats haha,1
okay How do they know? I guess,0
wow Having fun? Want to have more fun? I have some ideas...,1
Who cares about the host? I'm more interested in knowing you tonight,1
hey Running late? Time stops when I look at you anyway,1
wow Coffee break? How about a dinner date instead?,1
well I doubt alright,0
"alright So, This is delicious",0
"Actually, Love this post",0
Nice outfit... it would look even better on my bedroom floor,1
"So, First time here?",0
"What brings you here? Fate, I'm hoping tonight",1
okay Great presentation... you're incredibly impressive,1
Sounds good alright,0
"hmm So, Haven't seen you in a while maybe",0
"Um, Haven't seen you in a while noted",0
I can't forget I guess,0
Dizzy? Let me give you something to really spin about you know,1
wow Just honest... you bring out the romantic in me,1
Nice outfit,0
"Um, I love this song.",0
okay Crowded in here... want to go somewhere we can actually talk? And flirt properly?,1
"okay Oh, I love your style",0
Small world... now give me your number you know,1
Great presentation! I was totally paying attention and not just admiring you,1
"okay Honestly, How many sets left? I guess",0
okay How much?,0
"Can you spot me? I'm already falling for you, might as well make it literal",1
hmm Nice outfit! Did you dress up just to make everyone else here look underdressed?,1
"Um, Haven't seen you in a while",0
Stars aligned... plot twist: I'm actually shy,1
Have you tried dating me? I highly recommend it,1
okay I can't forget noted,0
"wow Everything's good, but the view just got better since you walked in tonight",1
hmm What's up? Besides my heart rate since I saw you,1
I like you... a lot more than just 'that' you know,1
Wish granted,0
Long day? You still manage to look amazing though tonight,1
okay Love this post... almost as much as I enjoy everything you share,1
well I'm addicted... fair warning: I'm about to be adorable,1
"so Hey, What's new?",0
"Oh, Hey maybe",0
First time here? Let's make it memorable in my room,1
"honestly It's so crowded, but somehow you're the only person I noticed",1
okay Your stop? How about my bedroom instead? you know,1
"Well, Miss you alright",0
"wow Great coffee, but I'm more interested in getting your number than my caffeine fix",1
I'm tired,0
"honestly Everything's good, but the view just got better since you walked in",1
I hunger to devour every part of you,1
Great presentation... present yourself at dinner with me tonight?,1
Nice outfit! Did you dress up just to make everyone else here look underdressed?,1
How's it going? Better now that I get to talk to you,1
so Great show,0
"so So, I should go",0
"What size? Perfect size, that's what you are",1
I'm addicted... fair warning: I'm about to be adorable tonight,1
"Honestly, Beautiful day.",0
"okay Well, Saw your post maybe",0
Sets left? Just one more - the set of digits I need from you,1
"hmm Is this machine free? Perfect, now I have an excuse to be near you",1
Hi! I've been wanting to message you all day,1
okay Of course not,0
Can I try it?,0
honestly Can't sleep... you're on my mind,1
"It's crowded, but somehow you're the only person I noticed haha",1
well Save room for dessert? I was hoping you'd be mine tonight,1
"so So, Nice weather today noted",0
You look amazing... you have this amazing energy,1
"Hey, Excuse me",0
What's your story? I have a feeling it's fascinating,1
hey Nice meeting you! Fair warning: you're going to be stuck in my head all day,1
hmm Would you like to dance? I promise I won't step on your toes... much,1
"So, Last call",0
Delicious! But I bet you taste even better,1
"well Honestly, Can you spot me? alright",0
"hey What's new? Well, meeting you is definitely the highlight",1
"Need help? Sure, but I think you've already lifted my spirits",1
wow Forget maybe - give me your number and make it a certainty,1
"alright Actually, Want another drink? noted",0
honestly How are you? You look absolutely radiant today,1
"Get you anything? Yeah, naked. Wait, that came out wrong... or did it?",1
"hmm Hey, Have you tried this before? I guess",0
Thinking of you... and what I'd do if you were here haha,1
Will you go out with me?,0
What's your story? I have a feeling it's fascinating tonight,1
"well Hey, They make the best coffee here",0
"Actually, Is this seat taken?",0
"Know anyone here? Perfect, now you know me - your new favorite person you know",1
Where? I'd rather focus on where we could go together,1
hmm It's cold alright,0
How are you? maybe,0
"okay Hey, Having fun? I guess",0
What are you reading? maybe,0
Beautiful photo... you have such a natural grace tonight,1
okay How are you? alright,0
"Good music today, but you're the real rhythm that caught my attention tonight",1
How? I'd be happy to show you... any excuse to spend time together tonight,1
"alright Um, Quiet in here",0
"Hey, What's good here?",0
"well Oh, Thank you maybe",0
"Honestly, Nice weather today",0
"alright Actually, This music is loud.",0
okay Stay with me... there's something magical about you,1
"So, Do you know anyone here?",0
"What brings you here? Fate, I'm hoping",1
Your stop? How about my bedroom instead?,1
You have a lovely tan... you must spend time enjoying life outdoors,1
honestly Have you tried this? I'd love to know what you recommend,1
Forget maybe - give me your number and make it a certainty you know,1
Learned? I've learned that I need to have you,1
I'm bad at keeping my hands to myself around you,1
"alright Well, Can I get your WiFi password?",0
Good book? Because I'm writing a story in my head where we get coffee after this,1
okay Do you come here often? Because I'm about to start coming here every day at this exact time,1
well Great song for making out to... just saying,1
wow That outfit looks incredible on you... you have such great style,1
honestly You look familiar... maybe from my dreams? Too cheesy? Let me try again...,1
"Hey, Is this your stop?",0
Of course not I guess,0
alright Maybe,0
"wow Confused? Don't worry, I have that effect on people",1
Are you sure?,0
wow Dance with me. That wasn't a question,1
"Oh, Can I get your WiFi password? noted",0
hmm So crowded! Good thing I don't mind getting closer to you,1
well I understand you're busy... but I'd love just a few more minutes haha,1
Cheers! To this being the start of something amazing,1
I have work maybe,0
"alright Honestly, What's new? noted",0
"Hey, Thank you",0
honestly Miss you... especially your body against mine haha,1
hey WiFi password? How about we connect in real life instead,1
Hey,0
hmm Check please... and maybe your number too?,1
"Hey, This place is packed I guess",0
Too quiet... want to go somewhere we can make some noise?,1
"well Love this song! It's our song now, just so you know you know",1
"hmm Actually, Love this post alright",0
hmm What are you up to? Hopefully nothing that would prevent a conversation,1
"So, Have you tried this before?",0
"well It's so crowded, but somehow you're the only person I noticed haha",1
alright Been here before? I guess,0
wow So crowded! Good thing I don't mind getting closer to you tonight,1
"hmm Actually, I should go maybe",0
Great presentation... present yourself at dinner with me tonight? haha,1
"Know anyone here? Perfect, now you know me - your new favorite person",1
so Right,0
I like that noted,0
Good to see you... what do you say we continue this privately?,1
okay This seat's about to be taken... by me. Hope you don't mind the best view in the place,1
You're perfect.,0
well Thanks.,0
alright Come closer.,0
You're irresistible... what do you say we continue this privately?,1
"okay Oh, What's new?.",0
alright Long line today,0
"So, You look busy",0
"Actually, Last call",0
"alright Oh, This place is nice alright",0
Fair enough... cool story. Tell me more over dinner,1
hmm Great music! Almost as good as the view from where I'm standing haha,1
okay Nice form! Are you a trainer? Because you're definitely training my heart rate right now you know,1
"well Hey, Everything looks good",0
You have perfect form... and I'm not just talking about your workout,1
hmm Bye alright,0
Love this song... it's perfect for making out to,1
okay This song is amazing I guess,0
honestly Can I buy you a drink? And maybe breakfast tomorrow?,1
"Actually, Are you single?",0
What size are you?,0
"Actually, Busy gym today alright",0
"hmm Actually, I should go",0
"alright Um, Great show maybe",0
"okay Oh, Are you single?",0
"Good night... sweet dreams, and maybe dream of me?",1
"okay Well, This place is nice",0
honestly You have perfect form... and I'm not just talking about your workout,1
well That outfit looks incredible on you... you have such great style,1
okay Not as sweet as you... or that smile,1
alright Until next time,0
Water's perfect! Almost as perfect as running into you,1
Love this post,0
"It's so crowded, but somehow you're the only person I noticed",1
"Um, You look busy alright",0
okay You're my type noted,0
"alright Hey, Is this machine free? maybe",0
"Actually, Quiet in here noted",0
"honestly Great coffee, but I'm more interested in getting your number than my caffeine fix",1
so Bye,0
well Would you like to spend more time together? noted,0
well Great music! Almost as good as the view from where I'm standing,1
"So, Good music today",0
"That book looks interesting, but I'd rather read you... over dinner perhaps?",1
well Great presentation! I was totally paying attention and not just admiring you,1
Everything looks excellent noted,0
"Honestly, Hi",0
"Um, Everything looks good",0
well Great workout! You make it look so effortless and graceful you know,1
hey You have perfect form... and I'm not just talking about your workout,1
Beautiful day to meet someone gorgeous... mission accomplished,1
"Honestly, Hi",0
hmm I keep picturing maybe,0
"wow Need help? Sure, but I think you've already lifted my spirits",1
well Good morning sunshine! You're the first thing I thought of today,1
"So, Busy gym today",0
Love this... love everything about you actually,1
hmm Nice moves noted,0
"So, Want to step outside? maybe",0
"okay Um, First time here?",0
so What do you think? noted,0
What's next?,0
Forget maybe - give me your number and make it a certainty,1
wow Nice meeting you... now let's make plans to meet again,1
"hmm Honestly, Having fun? alright",0
I choose,0
okay Good morning gorgeous... wish I was saying this in person,1
"hey It's crowded, but somehow you're the only person I noticed haha",1
This seat's about to be taken... by me. Hope you don't mind the best view in the place,1
Nice form! Are you a trainer? Because you're definitely training my heart rate right now tonight,1
I can't stop staring... you're genuinely captivating,1
"Oh, Cheers!",0
Forget maybe - give me your number and make it a certainty,1
Coffee break? More like a 'getting to know you better' break,1
"Well, What's your story? alright",0
"Can I get the WiFi password? And maybe yours too, if I'm lucky",1
so I'm bad at I guess,0
"so Well, What's your routine?",0
"Actually, What brings you here? I guess",0
"wow That book looks interesting, but I'd rather read you... over dinner perhaps?",1
I need you I guess,0
That's unbelievable alright,0
"wow Where are you from? Somewhere beautiful, I'm guessing",1
You smell amazing... it's dangerously distracting,1
so Perfect noted,0
Do you come here often? Because I'm about to start coming here every day at this exact time,1
"Hey, Coffee break? maybe",0
"Um, Having fun? noted",0
hmm Too quiet... want to go somewhere we can make some noise?,1
"Oh, Do you come here often? maybe",0
so Maybe I'll see you around alright,0
"alright Honestly, I love this song",0
"so Well, Working late again? maybe",0
Take my hand... what do you say we continue this privately?,1
so Is this machine free?,0
so That's sweet,0
"Um, What brings you here?.",0
Good morning sunshine! You're the first thing I thought of today,1
Of course.,0
"well Um, What brings you here? noted",0
Packed in here... want to go somewhere we can have some privacy?,1
Looks good... but it would look better on my bedroom floor,1
honestly Can't sleep... you're on my mind,1
well So nice to see you... you always brighten my day,1
Good music I guess,0
hey Everything looks good here... especially the company you know,1
I'm embarrassed,0
Sounds good,0
"well I love your style... actually, I love everything I'm seeing right now haha",1
okay Ready to order? I already know what I want... more time with you,1
okay You're welcome! Fair warning: the compliments are just getting started,1
Obviously,0
Who cares about the host? I'm more interested in knowing you,1
"alright Hey, They make the best coffee here",0
okay It's not working,0
This is good,0
well How was your day? Hope it was filled with as much joy as you bring me,1
"I should go, but my feet seem to be rebelling. I think they like standing next to you",1
"Slow service, but that means more time to get to know you",1
"Hey, Last call maybe",0
"Well, Working late again? I guess",0
"alright So, They make the best coffee here",0
"hey Need help? Sure, but I think you've already lifted my spirits",1
hey Your eyes are beautiful... and I mean that sincerely,1
"hmm Um, You're funny maybe",0
"hmm Actually, Haven't seen you in a while.",0
alright Great presentation,0
"hmm Actually, Do you know anyone here?",0
How's your day? Because you've definitely made mine,1
honestly This seat's about to be taken... by me. Hope you don't mind the best view in the place haha,1
"Um, Is this machine free? alright",0
hey Working late again? Maybe because you're avoiding going home to an empty apartment?,1
"so Honestly, Is this seat taken? noted",0
"alright Honestly, Great party.",0
It was lovely meeting you,0
well I'm shaking.,0
"Actually, Working late again?",0
"alright Oh, You're funny",0
That looks incredible on you... you have such great taste,1
You're captivating,0
I wish this moment could last forever,1
"well Actually, Are you single?",0
well Amazing! Almost as amazing as your smile haha,1
"well What brings you here? Fate, I'm hoping",1
alright Love this post,0
What are you up to? Besides stealing all the attention in here you know,1
"Well, Do you come here often?",0
well I'm tired noted,0
"Excuse me, is your name Google? Because you're everything I've been searching for",1
Tell me more! You're fascinating and I'm completely hooked,1
"Is this seat taken, or were you saving it for someone devastatingly charming? Because here I am!",1
hmm Everything looks good here... especially the company,1
Check please... and maybe your number too?,1
Nice tan... I'd love to see more of it you know,1
"wow What's next? You, me, and whatever happens naturally",1
Busy gym... let's go somewhere quieter after this tonight,1
Who? Doesn't matter... you're the only one I'm interested in,1
"Sorry, autocorrect I guess",0
"Honestly, What's new?",0
"so Honestly, How do you know the host? maybe",0
"Um, Haven't seen you in a while alright",0
well Miss you! My day feels incomplete without your charm in it,1
I'm addicted,0
okay I study I guess,0
I teach,0
Need help? I'd be honored to assist someone so dedicated,1
Master? You've mastered the art of being absolutely captivating tonight,1
"okay Well, Long day? alright",0
Forever maybe,0
well Great presentation... present yourself at dinner with me tonight?,1
Sets left? Just one more - the set of digits I need from you,1
"Honestly, First time here? maybe",0
honestly Is this seat taken? I promise I'm good company,1
"Oh, Nice outfit maybe",0
Delicious! But I bet you taste even better,1
hmm Worried? Let me be your reason to smile instead,1
hey Love this! You always know how to make my day better,1
I need you... did it work? Am I charming yet?,1
"alright Well, Great party",0
okay What are you up to? Hopefully nothing that would prevent a conversation you know,1
Love this... love everything about you actually,1
"Um, Great show",0
Wish granted... breaking news: you're gorgeous,1
"So, Great workout!",0
"okay Share? Sure, you can share your number with me",1
Great story... you're the most interesting person I follow,1
"hmm So, Save room for dessert?",0
Does it fit? maybe,0
"well Well, Hi noted",0
You're funny... I love how your eyes light up when you laugh haha,1
Spend time with me... fun fact: you're perfect tonight,1
okay What's new? The fact that I can't stop staring at you you know,1
"okay Hey, Great workout!",0
"Um, This is delicious",0
Perfect form... want to show me more over dinner?,1
"hmm So, Great show",0
Tired? I know something that'll wake you up,1
honestly Get you anything? How about my number to start? you know,1
Don't thank me... thank genetics for making you this gorgeous tonight,1
okay Long day? You still manage to look amazing though,1
so I'm attracted to you,0
How's your day? Want to make it unforgettable together?,1
Nice moves! I'm trying to figure out if you're a professional dancer or just naturally amazing,1
